controller,step,hour,active_peers,changed_peers,relief_selected_peers,recovery_selected_peers,debt_created_soc,debt_repaid_soc,extra_discharge_soc,extra_charge_soc,total_debt_soc,max_debt_soc,mean_budget_use_soc,official_predicted_grid,negotiated_predicted_grid,predicted_grid_delta,district_target,final_shadow_signal,logical_message_count,coordinator_id,coordinator_policy,planner_tool
chesca_commitment_full_mesh,1,2,6,6,6,0,0.24000000000000005,0.0,0.24000000000000005,0.0,0.24000000000000005,0.040000000000000036,0.04000000000000001,14.591872655066727,13.715872769507643,-0.875999885559084,14.591872655066727,2.1562115588092237,90,,,
chesca_commitment_full_mesh,2,3,6,6,0,6,0.0,0.23999999999999996,0.0,0.24000000000000005,8.326672684688674e-17,2.7755575615628914e-17,0.08000000000000002,6.204107326152643,7.0801073261526435,0.8760000000000003,6.204107326152643,-0.3123500037849793,90,,,
chesca_commitment_full_mesh,3,4,6,6,0,6,0.0,8.326672684688674e-17,0.0,0.22000000000000006,0.0,0.0,0.1166666666666667,5.192537087941776,5.988537087941776,0.7959999999999994,5.192537087941776,-0.1941129957619891,90,,,
chesca_commitment_full_mesh,4,5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1166666666666667,4.711030065747744,4.711030065747743,-8.881784197001252e-16,4.711030065747744,-0.04868147801391834,90,,,
chesca_commitment_full_mesh,5,6,6,6,0,6,0.0,0.0,0.0,0.18,0.0,0.0,0.1466666666666667,6.237404508867892,6.772583181138234,0.5351786722703418,6.237404508867892,-0.19209621228683554,90,,,
chesca_commitment_full_mesh,6,7,6,6,0,6,0.0,0.0,0.0,0.15999999999999998,0.0,0.0,0.17333333333333334,4.990351398238254,5.416675363261937,0.4263239650236823,4.990351398238254,-0.1467055614586119,90,,,
chesca_commitment_full_mesh,7,8,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17333333333333334,5.958205647622158,5.958205647622158,0.0,5.958205647622158,0.030926627979021917,90,,,
chesca_commitment_full_mesh,8,9,6,6,0,6,0.0,0.0,0.0,0.14,0.0,0.0,0.19666666666666668,6.376008958995863,6.789535459789824,0.413526500793961,6.376008958995863,-0.1836128694386483,90,,,
chesca_commitment_full_mesh,9,10,6,4,4,0,0.12000000000000001,0.0,0.12000000000000001,0.0,0.12000000000000001,0.04000000000000001,0.21666666666666667,7.098647757443403,6.632647757443402,-0.4660000000000011,7.098647757443403,0.23974937698842755,90,,,
chesca_commitment_full_mesh,10,11,6,4,0,4,0.0,0.12000000000000001,0.0,0.12000000000000001,6.938893903907228e-18,6.938893903907228e-18,0.2366666666666667,6.907030968257912,7.373030968257911,0.4659999999999993,6.907030968257912,-0.13755705061849452,90,,,
chesca_commitment_full_mesh,11,12,6,2,2,0,0.04000000000000001,0.0,0.04000000000000001,0.0,0.04000000000000001,0.020000000000000004,0.24333333333333337,6.951558739919788,6.819558739919788,-0.13199999999999967,7.096320629119873,0.5753347775285321,90,,,
chesca_commitment_full_mesh,12,13,6,0,0,0,0.0,0.0,0.0,0.0,0.04000000000000001,0.020000000000000004,0.24333333333333337,7.7012010350426285,7.7012010350426285,0.0,6.954711437225342,0.5853503675710477,90,,,
chesca_commitment_full_mesh,13,14,6,3,3,0,0.06000000000000001,0.0,0.06000000000000001,0.0,0.10000000000000002,0.020000000000000004,0.25333333333333335,7.399337623476284,7.173337623476284,-0.22599999999999998,6.931127548217773,0.7880042840393442,90,,,
chesca_commitment_full_mesh,14,15,6,0,0,0,0.0,0.0,0.0,0.0,0.10000000000000002,0.020000000000000004,0.25333333333333335,4.975002740554117,4.975002740554117,0.0,6.907543182373047,0.6243917686130132,90,,,
chesca_commitment_full_mesh,15,16,6,1,1,0,0.020000000000000004,0.0,0.020000000000000004,0.0,0.12000000000000002,0.02000000000000001,0.25666666666666665,7.133499018053461,7.053499018053461,-0.08000000000000007,6.435116767883301,1.0812646419774359,90,,,
chesca_commitment_full_mesh,16,17,6,0,0,0,0.0,0.0,0.0,0.0,0.12000000000000002,0.02000000000000001,0.25666666666666665,7.727875229375478,7.727875229375478,0.0,6.694179058074951,0.7336065413192467,90,,,
chesca_commitment_full_mesh,17,18,6,0,0,0,0.0,0.0,0.0,0.0,0.12000000000000002,0.02000000000000001,0.25666666666666665,6.587409890681502,6.587409890681503,8.881784197001252e-16,6.904174327850342,0.08301602771911085,90,,,
chesca_commitment_full_mesh,18,19,6,0,0,0,0.0,0.0,0.0,0.0,0.12000000000000002,0.02000000000000001,0.25666666666666665,9.612170232134021,9.612170232134021,0.0,6.797492027282715,1.23088261813842,90,,,
chesca_commitment_full_mesh,19,20,6,0,0,0,0.0,0.0,0.0,0.0,0.12000000000000002,0.02000000000000001,0.25666666666666665,8.337066107872488,8.337066107872488,0.0,6.924388885498047,0.49485659338475785,90,,,
chesca_commitment_full_mesh,20,21,6,0,0,0,0.0,0.0,0.0,0.0,0.12000000000000002,0.02000000000000001,0.25666666666666665,8.08901388514793,8.08901388514793,0.0,6.968188285827637,0.4108291797475954,90,,,
chesca_commitment_full_mesh,21,22,6,6,0,6,0.0,0.12000000000000001,0.0,0.12000000000000001,2.0816681711721685e-17,1.0408340855860843e-17,0.27666666666666667,6.426781706489935,6.864781706489936,0.4380000000000006,7.523429870605469,-0.06020923154082056,90,,,
chesca_commitment_full_mesh,22,23,6,0,0,0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,1.0408340855860843e-17,0.27666666666666667,6.512989719906168,6.512989719906168,0.0,7.224452972412109,0.06889439695260097,90,,,
chesca_commitment_full_mesh,23,24,6,0,0,0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,1.0408340855860843e-17,0.27666666666666667,6.401975192769257,6.401975192769257,0.0,7.419575214385986,-0.015752346655749996,90,,,
chesca_commitment_full_mesh,24,1,6,0,0,0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,1.0408340855860843e-17,0.27666666666666667,6.106042007636097,6.106042007636097,0.0,7.253274440765381,0.007434175777916073,90,,,
chesca_commitment_full_mesh,25,2,6,0,0,0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,1.0408340855860843e-17,0.23666666666666666,4.5856730942016055,4.585673094201606,8.881784197001252e-16,7.086974143981934,-0.139996227148381,90,,,
chesca_commitment_full_mesh,26,3,6,0,0,0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,1.0408340855860843e-17,0.19666666666666666,4.319347407321968,4.319347407321967,-8.881784197001252e-16,6.961450099945068,-0.15245119101110122,90,,,
chesca_commitment_full_mesh,27,4,6,5,0,5,0.0,1.0408340855860843e-17,0.0,0.12000000000000002,1.0408340855860843e-17,1.0408340855860843e-17,0.18000000000000002,4.4688324219439535,4.836414686782548,0.36758226483859424,6.937865734100342,-0.15730213652223413,90,,,
chesca_commitment_full_mesh,28,5,6,6,0,6,0.0,1.0408340855860843e-17,0.0,0.18000000000000002,0.0,0.0,0.21,4.265504129198094,4.864125315143755,0.5986211859456612,6.914281368255615,-0.2041731405803944,90,,,
chesca_commitment_full_mesh,29,6,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18000000000000002,5.005329192823093,5.005329192823093,0.0,6.877306938171387,-0.05205595012712411,90,,,
chesca_commitment_full_mesh,30,7,6,6,6,0,0.18000000000000002,0.0,0.18000000000000002,0.0,0.18000000000000002,0.04,0.18333333333333335,3.5164534064685222,2.8804534064685225,-0.6359999999999997,6.822479248046875,0.10591903606133023,90,,,
chesca_commitment_full_mesh,31,8,6,0,0,0,0.0,0.0,0.0,0.0,0.18000000000000002,0.04,0.18333333333333335,2.8988684060178844,2.8988684060178844,0.0,6.767650604248047,0.18240838445351398,90,,,
chesca_commitment_full_mesh,32,9,6,0,0,0,0.0,0.0,0.0,0.0,0.18000000000000002,0.04,0.16,2.0177702000049162,2.0177702000049162,0.0,6.706607818603516,0.04626553809147115,90,,,
